sl_pct,tp_pct,trailing_sl_trigger_pct,trailing_sl_pct,win_rate,sharpe_ratio,max_drawdown,total_trades,avg_profit
0.01,0.04,0.007,0.0035,0.4759324596774194,-7.338371109663525,-99.99231315536407,7936,-0.002191020216317501
0.01,0.04,0.007,0.004,0.4645308924485126,-7.672251047694397,-99.99445867455546,7866,-0.002370232466439818
0.01,0.04,0.007,0.0045000000000000005,0.4501475683305531,-7.980886512207324,-99.99609069168022,7793,-0.00260559322870098
0.01,0.04,0.008,0.0005,0.4617708880714661,-7.185518846834619,-99.9924397290451,7612,-0.0019495098414747858
0.01,0.04,0.008,0.001,0.4616395165528113,-7.132455731668769,-99.99253792843784,7612,-0.0019538924158337104
0.01,0.04,0.008,0.0015,0.4608204049434657,-7.142683319459921,-99.99257859823436,7606,-0.0019725020802778236
0.01,0.04,0.008,0.002,0.4583004472507235,-7.193071262663864,-99.99269226158354,7602,-0.002030289539264597
0.01,0.04,0.008,0.0025,0.4546772068511199,-7.4815146328967455,-99.99444332039992,7590,-0.002169447761609999
0.01,0.04,0.008,0.003,0.4501582278481013,-7.822972751773667,-99.99572641141661,7584,-0.00231925573328886
0.01,0.04,0.008,0.0035,0.44652335456475584,-7.790105456902661,-99.99555575130357,7536,-0.0024551362239096683
0.01,0.04,0.008,0.004,0.4378003203416978,-8.210997425690703,-99.99703209827862,7492,-0.0026648982985299653
0.01,0.04,0.008,0.0045000000000000005,0.42899448108762955,-8.32699826940315,-99.99774868137624,7429,-0.0028630538940949213
0.01,0.04,0.009000000000000001,0.0005,0.42961231784437726,-7.3331373282599355,-99.99371018306627,7274,-0.0022062806201721507
0.01,0.04,0.009000000000000001,0.001,0.4289249381358262,-7.358100823576392,-99.99399201432266,7274,-0.00222305395955855
0.01,0.04,0.009000000000000001,0.0015,0.4280803080308031,-7.339138827622589,-99.99362170130198,7272,-0.0022529026668097075
0.01,0.04,0.009000000000000001,0.002,0.4272739782578781,-7.381513877115317,-99.99394265826706,7267,-0.0023021810975095572
0.01,0.04,0.009000000000000001,0.0025,0.42404627461782124,-7.637990816685172,-99.99510931070424,7261,-0.002436256360459407
0.01,0.04,0.009000000000000001,0.003,0.42135761589403975,-7.696608512692159,-99.99508119873943,7248,-0.0025377768407756265
0.01,0.04,0.009000000000000001,0.0035,0.41744073201164567,-7.639954354009597,-99.99492508672033,7213,-0.002689344896303833
0.01,0.04,0.009000000000000001,0.004,0.41221586947427136,-7.907925193001181,-99.99596739573829,7171,-0.002867017371262789
0.01,0.04,0.009000000000000001,0.0045000000000000005,0.40742302825811894,-7.998803150596689,-99.99688158713688,7113,-0.0030548901877349086
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.001,0.0005,0.6433261700095511,8.856263813046846,-58.46743259363944,16752,-0.0001354856727777695
0.01,0.06,0.002,0.0005,0.765301302382077,4.587675210195141,-77.0997517091877,14819,-0.00024656162908231067
0.01,0.06,0.002,0.001,0.7118308464747897,3.2003777011726826,-81.59810480348727,14141,-0.0003514578744176755
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.002,0.0015,0.6610244333235208,1.6264588093800072,-84.07678182936354,13588,-0.00047735430801173166
0.01,0.06,0.003,0.0005,0.7414878027756228,-2.151336196333425,-97.66366247062898,11601,-0.0007081094981286248
0.01,0.06,0.003,0.001,0.718182607940231,-2.5329251382761253,-98.3565535863454,11511,-0.0007445973278688101
0.01,0.06,0.003,0.0015,0.6830384649238623,-3.0218877017160155,-98.94897347089942,11361,-0.0008033256998613765
0.01,0.06,0.003,0.002,0.6378800107613667,-3.807582560928221,-99.45397930351764,11151,-0.0009150893408340586
0.01,0.06,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.06,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.06,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.06,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.06,0.003,0.0025,0.59138010087116,-4.524594782938065,-99.69874986700351,10905,-0.001058169110725958
0.01,0.06,0.004,0.0005,0.6665996784565916,-4.955552076459633,-99.89707267054273,9952,-0.0010354041712912097
0.01,0.06,0.004,0.001,0.6641167589330649,-4.965713855321994,-99.90025697303405,9935,-0.0010382370323873053
0.01,0.06,0.004,0.0015,0.6531395114072279,-5.017417265674955,-99.90408721738955,9906,-0.001050521072009227
0.01,0.06,0.004,0.002,0.6311516996448503,-5.151294107201972,-99.91865975171365,9855,-0.0011020752055784938
0.01,0.06,0.004,0.0025,0.598996723996724,-5.234256417657224,-99.92191570072295,9768,-0.0011874913912611155
0.01,0.06,0.004,0.003,0.5626807104502272,-5.660318326500235,-99.94297276971936,9684,-0.0013353636218413321
0.01,0.06,0.004,0.0035,0.5280403276622558,-5.861350990774641,-99.94952880099444,9522,-0.0015196666389609126
0.01,0.06,0.004,0.0035,0.5280403276622558,-5.861350990774641,-99.94952880099444,9522,-0.0015196666389609126
0.01,0.06,0.004,0.0035,0.5280403276622558,-5.861350990774641,-99.94952880099444,9522,-0.0015196666389609126
0.01,0.06,0.005,0.0005,0.6022276135862373,-5.738520411818446,-99.96250655096672,9068,-0.0012185106301350382
